Number of Authors:,7974
Number of Papers:,10000
Number of Topics:,284
author-id,author-degree,author-credit,author-type,,percent-marg-x,avg-credit-y,num-authors
1,17,45,Dominant,,0.5015957446808511,4.542021276595745,1880
2,26,26,Marginalized,,0.4965034965034965,4.624529316837009,1859
3,11,16,Marginalized,,0.5267857142857143,4.377976190476191,336
4,13,15,Marginalized,,1.0,4.0,1
5,15,39,Dominant,,0.49295774647887325,4.626760563380282,852
6,9,25,Dominant,,0.5032811711256941,4.53861686017163,1981
7,19,41,Dominant,,0.4979381443298969,4.590721649484536,970
8,9,14,Marginalized,,1.0,4.0,1
9,9,17,Dominant,,1.0,4.0,1
10,16,37,Dominant,,0.5517241379310345,4.137931034482759,29
11,2,7,Dominant,,0.5285714285714286,4.671428571428572,140
12,10,10,Marginalized,,0.46437994722955145,4.519788918205805,379
13,11,12,Marginalized,,0.3125,4.75,16
14,6,13,Dominant,,0.4513064133016627,4.648456057007126,421
15,18,20,Marginalized,,0.4876847290640394,4.531034482758621,1015
16,9,21,Dominant,,0.5207547169811321,4.324528301886793,265
17,10,21,Dominant,,0.6666666666666666,3.0,3
18,16,33,Dominant,,0.5,3.0,2
19,22,21,Marginalized,,0.4166666666666667,4.125,24
20,12,14,Marginalized,,0.5714285714285714,5.785714285714286,42
21,9,25,Dominant,,0.6,3.8,5
22,9,19,Dominant,,0.47058823529411764,4.0,17
23,10,21,Dominant,,0.5555555555555556,4.222222222222222,9
24,14,29,Dominant,,0.509090909090909,4.181818181818182,55
25,9,21,Dominant,,0.3684210526315789,4.421052631578948,19
26,16,21,Marginalized,,0.0,5.0,1
27,9,19,Dominant,,0.43037974683544306,4.253164556962025,79
28,6,17,Dominant,,0.4,3.6,5
29,11,14,Marginalized,,0.2857142857142857,4.285714285714286,7
30,2,4,Marginalized,,0.5,3.0,2
31,12,12,Marginalized,,0.4166666666666667,4.277777777777778,36
32,9,10,Marginalized,,0.25,4.75,8
33,8,19,Dominant,,0.45714285714285713,4.228571428571429,35
34,4,11,Dominant,,0.375,4.0,8
35,8,17,Dominant,,0.5454545454545454,3.8181818181818183,11
36,5,5,Marginalized,,0.4722222222222222,4.416666666666667,36
37,12,12,Marginalized,,0.3333333333333333,4.666666666666667,21
38,6,7,Marginalized,,0.5,3.5,2
39,13,27,Dominant,,0.4883720930232558,4.77906976744186,516
40,7,21,Dominant,,0.25,4.625,24
41,7,6,Marginalized,,0.1111111111111111,4.777777777777778,9
42,13,21,Dominant,,0.4666666666666667,4.133333333333334,105
43,9,19,Dominant,,0.4931506849315068,4.095890410958904,73
44,10,21,Dominant,,0.5,3.7857142857142856,14
45,10,17,Dominant,,0.46153846153846156,4.256410256410256,39
46,15,15,Marginalized,,0.6,3.2,5
47,9,11,Marginalized,,0.38461538461538464,3.8461538461538463,13
48,8,17,Dominant,,0.6,3.5,10
49,4,11,Dominant,,0.4,5.2,10
50,6,13,Dominant,,0.4782608695652174,3.9130434782608696,23
51,8,15,Dominant,,0.3333333333333333,4.416666666666667,12
52,5,5,Marginalized,,0.38461538461538464,4.0,13
53,5,13,Dominant,,0.42857142857142855,4.142857142857143,7
54,6,11,Dominant,,0.4482758620689655,4.312997347480106,377
