Number of Authors:,793
Number of Papers:,1000
Number of Topics:,57
author-id,author-degree,author-credit,author-type,,percent-marg-x,avg-credit-y
1,46,43,Marginalized,,0.45454545454545453,4.927272727272728
2,14,18,Marginalized,,0.5,4.5
3,17,15,Marginalized,,0.5333333333333333,4.88
4,11,11,Marginalized,,0.5617977528089888,4.786516853932584
5,42,69,Dominant,,0.4166666666666667,4.888888888888889
6,12,12,Marginalized,,0.5647058823529412,4.8
7,18,16,Marginalized,,0.4925373134328358,4.686567164179104
8,9,8,Marginalized,,0.25,6.0
9,18,15,Marginalized,,0.5573770491803278,4.360655737704918
10,16,29,Dominant,,0.6666666666666666,3.8333333333333335
11,9,23,Dominant,,0.5111111111111111,4.711111111111111
12,12,9,Marginalized,,0.6363636363636364,3.909090909090909
13,4,6,Marginalized,,0.5111111111111111,4.511111111111111
14,9,15,Dominant,,0.5138888888888888,4.694444444444445
15,14,29,Dominant,,0.5789473684210527,4.666666666666667
16,13,13,Marginalized,,0.0,11.0
17,7,11,Dominant,,0.4752475247524752,4.772277227722772
18,8,10,Marginalized,,0.4936708860759494,6.0886075949367084
19,7,7,Marginalized,,0.47368421052631576,5.140350877192983
20,9,10,Marginalized,,0.42105263157894735,4.2105263157894735
21,4,4,Marginalized,,0.47058823529411764,6.764705882352941
22,5,9,Dominant,,0.5028571428571429,4.4
23,6,11,Dominant,,0.0,3.0
24,4,11,Dominant,,0.42105263157894735,3.3684210526315788
25,4,9,Dominant,,0.4444444444444444,3.5925925925925926
26,7,19,Dominant,,,
27,8,6,Marginalized,,,
28,7,9,Marginalized,,,
29,6,5,Marginalized,,,
30,16,33,Dominant,,,
31,4,9,Dominant,,,
32,14,12,Marginalized,,,
33,8,9,Marginalized,,,
34,5,6,Marginalized,,,
35,5,7,Dominant,,,
36,6,8,Marginalized,,,
37,9,21,Dominant,,,
38,6,9,Dominant,,,
39,10,21,Dominant,,,
40,7,17,Dominant,,,
41,11,10,Marginalized,,,
42,8,9,Marginalized,,,
43,7,17,Dominant,,,
44,3,4,Marginalized,,,
45,3,7,Dominant,,,
46,5,13,Dominant,,,
47,5,4,Marginalized,,,
48,4,7,Marginalized,,,
49,6,6,Marginalized,,,
50,8,10,Marginalized,,,
51,4,9,Dominant,,,
52,6,13,Dominant,,,
53,9,9,Marginalized,,,
54,5,11,Dominant,,,
55,4,4,Marginalized,,,
56,7,15,Dominant,,,
57,5,6,Marginalized,,,
58,10,23,Dominant,,,
59,6,13,Dominant,,,
60,12,10,Marginalized,,,
61,9,6,Marginalized,,,
62,8,8,Marginalized,,,
63,4,9,Dominant,,,
64,10,10,Marginalized,,,
65,5,11,Dominant,,,
66,3,9,Dominant,,,
67,6,6,Marginalized,,,
68,5,11,Dominant,,,
69,6,10,Marginalized,,,
70,1,3,Dominant,,,
71,4,9,Dominant,,,
72,5,5,Marginalized,,,
73,8,19,Dominant,,,
74,7,13,Dominant,,,
75,3,4,Marginalized,,,
76,6,11,Dominant,,,
77,6,13,Dominant,,,
78,3,3,Marginalized,,,
79,4,4,Marginalized,,,
80,10,21,Dominant,,,
81,12,17,Dominant,,,
82,3,4,Marginalized,,,
83,3,7,Dominant,,,
84,6,13,Dominant,,,
85,8,21,Dominant,,,
86,5,13,Dominant,,,
