Number of Authors:,84
Number of Papers:,100
Number of Topics:,21
author-id,author-degree,author-credit,author-type,,percent-marg-x,avg-credit-y
1,13,21,Dominant,,0.4,5.533333333333333
2,14,11,Marginalized,,0.6363636363636364,5.818181818181818
3,14,25,Dominant,,0.3870967741935484,4.67741935483871
4,9,8,Marginalized,,0.5,2.8333333333333335
5,11,21,Dominant,,0.36363636363636365,8.0
6,13,17,Dominant,,0.5333333333333333,3.2666666666666666
7,7,5,Marginalized,,0.6666666666666666,4.666666666666667
8,6,7,Marginalized,,0.27586206896551724,4.9655172413793105
9,11,11,Marginalized,,0.3333333333333333,3.1666666666666665
10,4,7,Dominant,,,
11,5,7,Dominant,,,
12,9,7,Marginalized,,,
13,14,23,Dominant,,,
14,1,5,Dominant,,,
15,3,5,Dominant,,,
16,5,4,Marginalized,,,
17,5,7,Dominant,,,
18,4,2,Marginalized,,,
19,4,9,Dominant,,,
20,5,9,Dominant,,,
21,2,3,Dominant,,,
22,4,3,Dominant,,,
23,1,2,Marginalized,,,
24,1,3,Dominant,,,
25,3,7,Dominant,,,
26,2,5,Dominant,,,
27,4,4,Marginalized,,,
28,2,5,Dominant,,,
29,1,3,Dominant,,,
30,4,9,Dominant,,,
31,2,7,Dominant,,,
32,4,5,Dominant,,,
33,5,6,Marginalized,,,
34,5,11,Dominant,,,
35,1,2,Marginalized,,,
36,5,9,Dominant,,,
37,4,11,Dominant,,,
38,2,7,Dominant,,,
39,1,2,Marginalized,,,
40,3,3,Marginalized,,,
41,2,7,Dominant,,,
42,4,3,Dominant,,,
43,4,4,Marginalized,,,
44,4,2,Marginalized,,,
45,6,7,Dominant,,,
46,2,3,Marginalized,,,
47,1,3,Dominant,,,
48,1,2,Marginalized,,,
49,3,3,Marginalized,,,
50,3,7,Dominant,,,
51,3,3,Dominant,,,
52,3,5,Dominant,,,
53,2,3,Marginalized,,,
54,1,3,Dominant,,,
55,2,2,Marginalized,,,
56,1,3,Dominant,,,
57,1,2,Marginalized,,,
58,1,2,Marginalized,,,
59,4,9,Dominant,,,
60,2,5,Dominant,,,
61,1,3,Dominant,,,
62,2,5,Dominant,,,
63,1,3,Dominant,,,
64,3,5,Dominant,,,
65,3,2,Marginalized,,,
66,1,2,Marginalized,,,
67,1,2,Marginalized,,,
68,3,3,Dominant,,,
69,2,3,Marginalized,,,
70,2,2,Marginalized,,,
71,1,2,Marginalized,,,
72,2,2,Marginalized,,,
73,2,3,Marginalized,,,
74,1,3,Dominant,,,
75,2,5,Dominant,,,
76,2,3,Dominant,,,
77,2,2,Marginalized,,,
78,1,2,Marginalized,,,
79,1,3,Dominant,,,
80,3,2,Marginalized,,,
81,3,2,Marginalized,,,
82,1,3,Dominant,,,
83,2,2,Marginalized,,,
84,1,3,Dominant,,,
