Number of Authors:,780
Number of Papers:,1000
Number of Topics:,59
author-id,author-degree,author-credit,author-type,,percent-marg-x,avg-credit-y,num-authors
1,12,19,Marginalized,,0.5392156862745098,4.794117647058823,102
2,11,15,Marginalized,,0.5373134328358209,4.507462686567164,67
3,8,17,Dominant,,0.4973544973544973,5.26984126984127,189
4,19,23,Marginalized,,0.5,4.8125,16
5,12,13,Marginalized,,0.4666666666666667,4.9,60
6,24,23,Marginalized,,0.5,4.0,2
7,20,37,Dominant,,0.5,4.25,4
8,9,17,Dominant,,0.4897959183673469,4.36734693877551,49
9,9,12,Marginalized,,0.5,5.157894736842105,38
10,11,13,Marginalized,,0.6153846153846154,3.8461538461538463,13
11,7,15,Dominant,,0.5833333333333334,4.875,24
12,12,12,Marginalized,,0.5555555555555556,3.925925925925926,27
13,5,8,Marginalized,,0.5735294117647058,5.588235294117647,68
14,15,16,Marginalized,,0.5151515151515151,3.787878787878788,33
15,8,13,Marginalized,,0.52,4.48,125
16,14,25,Dominant,,1.0,2.0,1
17,5,11,Dominant,,0.5535714285714286,3.8125,112
18,4,13,Dominant,,0.6,3.45,20
19,9,25,Dominant,,0.7333333333333333,3.466666666666667,15
20,12,15,Marginalized,,0.5306122448979592,3.806122448979592,98
21,3,7,Dominant,,0.7272727272727273,3.1818181818181817,11
22,11,11,Marginalized,,0.6470588235294118,3.6470588235294117,17
23,11,19,Dominant,,0.5,3.375,24
24,7,17,Dominant,,0.5217391304347826,4.260869565217392,23
25,14,21,Dominant,,0.5945945945945946,5.513513513513513,37
26,6,15,Dominant,,0.5652173913043478,5.782608695652174,23
27,18,16,Marginalized,,0.5588235294117647,7.617647058823529,34
28,12,23,Dominant,,0.5,5.75,4
29,18,16,Marginalized,,,,
30,4,6,Marginalized,,,,
31,9,10,Marginalized,,,,
32,10,19,Dominant,,,,
33,5,13,Dominant,,,,
34,9,15,Dominant,,,,
35,3,5,Marginalized,,,,
36,4,5,Marginalized,,,,
37,7,11,Dominant,,,,
38,10,13,Marginalized,,,,
39,7,15,Dominant,,,,
40,9,8,Marginalized,,,,
41,8,11,Marginalized,,,,
42,4,6,Marginalized,,,,
43,17,19,Marginalized,,,,
44,8,9,Marginalized,,,,
45,6,6,Marginalized,,,,
46,10,12,Marginalized,,,,
47,3,5,Marginalized,,,,
48,4,13,Dominant,,,,
