Number of Authors:,81
Number of Papers:,100
Number of Topics:,5
author-id,author-degree,author-credit,author-type,,percent-marg-x,avg-credit-y
1,7,19,Dominant,,0.6,3.8666666666666667
2,18,33,Dominant,,0.5769230769230769,5.25
3,5,11,Dominant,,0.575,5.5
4,3,4,Marginalized,,,
5,6,6,Marginalized,,,
6,15,15,Marginalized,,,
7,6,6,Marginalized,,,
8,2,3,Marginalized,,,
9,14,23,Dominant,,,
10,9,17,Dominant,,,
11,5,13,Dominant,,,
12,4,13,Dominant,,,
13,7,5,Marginalized,,,
14,10,11,Dominant,,,
15,6,5,Marginalized,,,
16,4,9,Dominant,,,
17,2,5,Dominant,,,
18,10,21,Dominant,,,
19,6,11,Dominant,,,
20,2,3,Marginalized,,,
21,9,9,Dominant,,,
22,2,4,Marginalized,,,
23,3,4,Marginalized,,,
24,3,3,Marginalized,,,
25,2,5,Dominant,,,
26,1,2,Marginalized,,,
27,6,6,Marginalized,,,
28,6,7,Dominant,,,
29,2,3,Marginalized,,,
30,4,5,Marginalized,,,
31,2,5,Dominant,,,
32,1,2,Marginalized,,,
33,2,3,Marginalized,,,
34,4,3,Dominant,,,
35,4,5,Marginalized,,,
36,1,2,Marginalized,,,
37,1,5,Dominant,,,
38,2,5,Dominant,,,
39,6,3,Marginalized,,,
40,1,2,Marginalized,,,
41,3,9,Dominant,,,
42,1,3,Marginalized,,,
43,6,5,Marginalized,,,
44,2,2,Marginalized,,,
45,1,3,Dominant,,,
46,2,2,Marginalized,,,
47,6,5,Marginalized,,,
48,2,3,Marginalized,,,
49,2,3,Marginalized,,,
50,3,4,Marginalized,,,
51,2,5,Dominant,,,
52,3,3,Marginalized,,,
53,1,3,Dominant,,,
54,6,4,Marginalized,,,
55,1,2,Marginalized,,,
56,1,3,Dominant,,,
57,2,3,Marginalized,,,
58,1,3,Dominant,,,
59,1,2,Marginalized,,,
60,1,3,Dominant,,,
61,2,3,Marginalized,,,
62,3,5,Dominant,,,
63,1,3,Dominant,,,
64,2,3,Marginalized,,,
65,4,3,Marginalized,,,
66,1,2,Marginalized,,,
67,1,2,Marginalized,,,
68,2,2,Marginalized,,,
69,1,2,Marginalized,,,
70,3,2,Marginalized,,,
71,3,3,Dominant,,,
72,2,5,Dominant,,,
73,5,3,Dominant,,,
74,1,2,Marginalized,,,
75,2,3,Dominant,,,
76,1,3,Dominant,,,
77,2,3,Dominant,,,
78,1,2,Marginalized,,,
79,1,2,Marginalized,,,
80,1,2,Marginalized,,,
81,1,3,Dominant,,,
