Number of Authors:,8023
Number of Papers:,10000
Number of Topics:,286
author-id,author-degree,author-credit,author-type,,percent-marg-x,avg-credit-y,num-authors
1,25,51,Dominant,,0.4851004851004851,5.123700623700624,2886
2,26,55,Dominant,,0.4861111111111111,5.027777777777778,72
3,23,25,Marginalized,,0.5404761904761904,4.7976190476190474,420
4,24,26,Marginalized,,0.47491638795986624,5.157190635451505,299
5,15,33,Dominant,,0.4744744744744745,5.12012012012012,333
6,12,21,Dominant,,0.4694533762057878,4.996784565916399,311
7,22,21,Marginalized,,0.47465437788018433,5.066820276497696,434
8,10,13,Marginalized,,0.3333333333333333,4.0,3
9,17,35,Dominant,,0.5,3.625,8
10,13,14,Marginalized,,0.5050568900126422,4.935524652338811,1582
11,22,37,Dominant,,0.46396396396396394,5.166666666666667,222
12,14,12,Marginalized,,0.4767025089605735,5.023297491039426,558
13,23,28,Marginalized,,0.42857142857142855,5.9523809523809526,42
14,11,16,Marginalized,,0.45864661654135336,4.7669172932330826,133
15,25,25,Marginalized,,0.5714285714285714,4.5,42
16,17,16,Marginalized,,0.5211726384364821,4.768729641693811,307
17,36,35,Marginalized,,0.4603174603174603,4.746031746031746,63
18,27,59,Dominant,,0.5,4.78,150
19,10,17,Dominant,,0.5384615384615384,4.230769230769231,13
20,19,37,Dominant,,0.8,4.6,5
21,14,27,Dominant,,0.5135135135135135,4.909009009009009,1110
22,11,15,Marginalized,,1.0,3.0,1
23,10,19,Dominant,,0.48148148148148145,5.462962962962963,54
24,16,31,Dominant,,0.5263157894736842,4.824561403508772,57
25,8,9,Marginalized,,0.75,3.875,8
26,29,45,Dominant,,0.5079365079365079,4.920634920634921,63
27,8,15,Dominant,,0.5166666666666667,4.933333333333334,60
28,12,13,Marginalized,,0.475,4.825,40
29,8,10,Marginalized,,0.5166666666666667,4.616666666666666,60
30,16,35,Dominant,,0.5735294117647058,4.514705882352941,68
31,13,12,Marginalized,,0.5084745762711864,5.322033898305085,59
