Number of Authors:,8111
Number of Papers:,10000
Number of Topics:,377
author-id,author-degree,author-credit,author-type,,percent-marg-x,avg-credit-y,num-authors
1,28,53,Dominant,,0.5543478260869565,4.804347826086956,184
2,14,35,Dominant,,0.5159395973154363,4.984060402684563,2384
3,36,63,Dominant,,0.47619047619047616,5.104761904761904,105
4,4,11,Dominant,,0.5315315315315315,4.648648648648648,111
5,28,53,Dominant,,0.5619047619047619,4.733333333333333,210
6,11,11,Marginalized,,0.4899135446685879,4.890489913544669,347
7,39,63,Dominant,,0.5102375102375102,4.871826371826372,2442
8,31,21,Marginalized,,0.542608695652174,4.820869565217391,575
9,28,30,Marginalized,,0.5245614035087719,4.859649122807017,570
10,24,24,Marginalized,,0.6056338028169014,4.408450704225352,71
11,15,33,Dominant,,0.5083948959032908,4.834116856950974,1489
12,18,17,Marginalized,,0.494199535962877,4.770301624129931,862
13,20,18,Marginalized,,0.6666666666666666,3.6666666666666665,6
14,16,27,Dominant,,0.495,4.825714285714286,1400
15,12,14,Marginalized,,0.42857142857142855,4.142857142857143,7
16,5,13,Dominant,,0.46543778801843316,4.776497695852535,434
17,10,21,Dominant,,0.47184466019417476,4.735922330097087,515
18,16,35,Dominant,,0.49019607843137253,4.921568627450981,51
19,9,10,Marginalized,,0.48872180451127817,4.909774436090226,266
20,10,29,Dominant,,0.4890710382513661,4.7076502732240435,366
21,21,45,Dominant,,0.534,4.662,500
22,29,30,Marginalized,,0.38461538461538464,4.884615384615385,26
23,9,7,Marginalized,,0.5023041474654378,4.658986175115207,217
24,18,18,Marginalized,,0.5232558139534884,4.534883720930233,86
25,27,43,Dominant,,0.0,3.0,1
26,11,29,Dominant,,0.45161290322580644,4.645161290322581,62
27,16,12,Marginalized,,0.5344827586206896,4.862068965517241,58
28,31,23,Marginalized,,0.0,3.0,1
29,7,8,Marginalized,,0.5240174672489083,4.655021834061135,229
30,10,12,Marginalized,,0.49056603773584906,4.60377358490566,53
31,19,35,Dominant,,0.75,3.0,4
32,20,20,Marginalized,,0.0,3.0,1
33,8,12,Marginalized,,0.49166666666666664,4.4,120
34,11,29,Dominant,,0.0,3.0,1
35,11,18,Marginalized,,0.4594594594594595,4.378378378378378,111
36,7,9,Marginalized,,0.5,4.125,8
37,13,11,Marginalized,,0.25,4.125,8
38,16,31,Dominant,,0.0,4.5,4
39,15,16,Marginalized,,0.0,3.0,1
40,16,33,Dominant,,0.0,3.0,1
41,10,23,Dominant,,0.3333333333333333,4.5,6
42,10,10,Marginalized,,0.7037037037037037,3.5555555555555554,27
43,11,12,Marginalized,,0.4444444444444444,4.296296296296297,27
