Number of Authors:,80105
Number of Papers:,100000
Number of Topics:,2433
degree-density-values,credit-distrib-marginalized,credit-distrib-dominant,percent-marg-x,avg-credit-y
34,18,25,0.5080287929125138,4.489479512735326
23,9,45,0.5229885057471264,4.42183908045977
21,12,61,0.5405405405405406,4.513513513513513
21,16,7,0.5147392290249433,4.501133786848072
21,15,37,0.4882710686359687,4.55516941789748
19,12,19,0.4897959183673469,4.285714285714286
19,9,45,0.4858490566037736,4.466981132075472
19,13,17,0.5076923076923077,4.425641025641026
18,11,23,0.4714285714285714,4.453571428571428
17,20,19,0.513671875,4.3984375
17,16,19,0.5546875,4.341517857142857
16,10,27,0.5120274914089347,4.391752577319588
16,7,29,0.5036231884057971,4.489130434782608
16,13,15,0.525,4.23125
16,6,13,0.4797687861271676,4.329479768786127
16,14,21,0.5967741935483871,3.9838709677419355
15,13,21,0.5151515151515151,4.151515151515151
15,11,17,0.4256198347107438,4.545454545454546
15,7,25,0.5099009900990099,4.413366336633663
14,12,19,0.4962852897473997,4.402674591381873
14,11,39,0.5146579804560261,4.511400651465798
14,9,15,0.515625,4.4140625
14,11,21,0.47692307692307695,4.323076923076923
14,13,27,0.518796992481203,4.2781954887218046
14,8,19,0.5168539325842697,4.213483146067416
14,12,27,0.4868421052631579,4.328947368421052
14,6,31,0.5846153846153846,4.123076923076923
14,11,23,0.47058823529411764,4.588235294117647
13,21,17,0.488929889298893,4.409594095940959
13,4,9,0.6,3.72
13,8,19,0.6666666666666666,3.3333333333333335
13,18,11,0.6666666666666666,3.3333333333333335
13,14,15,0.4634146341463415,4.479674796747967
13,9,21,0.4864864864864865,4.35472972972973
12,18,15,0.5,3.0
12,13,23,0.4722222222222222,4.311728395061729
12,11,21,0.5666666666666667,4.1
12,11,9,0.5384615384615384,3.9914529914529915
12,8,31,0.36065573770491804,4.39344262295082
12,3,27,0.3333333333333333,4.166666666666667
12,11,15,0.4807692307692308,4.096153846153846
12,13,11,0.4406779661016949,4.169491525423729
12,9,13,0.375,4.3125
12,7,15,0.48214285714285715,4.223214285714286
11,12,19,1.0,2.0
11,9,11,0.42857142857142855,3.761904761904762
11,4,19,0.6818181818181818,3.6818181818181817
11,9,23,0.7142857142857143,3.642857142857143
11,8,35,0.38461538461538464,4.0
11,14,9,0.6666666666666666,3.3333333333333335
11,11,15,0.4773413897280967,4.24773413897281
11,7,7,0.5454545454545454,3.772727272727273
11,8,15,0.6521739130434783,3.1739130434782608
11,10,13,0.43478260869565216,4.3478260869565215
11,6,17,0.38461538461538464,4.276923076923077
11,3,31,0.6666666666666666,3.6666666666666665
11,11,17,0.7272727272727273,3.8181818181818183
11,4,17,0.2,3.0
11,8,15,0.45454545454545453,4.2727272727272725
11,6,25,0.7272727272727273,3.8636363636363638
11,12,11,0.45161290322580644,4.0
11,8,11,0.0,3.0
11,6,21,0.5,3.9318181818181817
11,12,15,0.5,4.348484848484849
10,10,15,0.4576271186440678,4.11864406779661
10,9,15,0.0,3.0
10,7,7,0.29411764705882354,3.3529411764705883
10,12,13,0.4,4.333333333333333
10,6,13,0.5344827586206896,4.603448275862069
10,6,9,0.4520547945205479,4.232876712328767
10,5,15,0.0,3.0
10,5,21,0.5714285714285714,3.9285714285714284
10,6,15,0.5384615384615384,3.230769230769231
10,7,25,0.5,3.7291666666666665
10,4,5,0.5,3.6666666666666665
10,4,7,0.45454545454545453,2.8181818181818183
10,2,29,0.45454545454545453,3.8863636363636362
10,7,19,0.45454545454545453,2.8181818181818183
10,7,13,0.5,3.6666666666666665
10,9,13,0.5357142857142857,4.071428571428571
10,6,19,0.5,3.6666666666666665
10,8,25,0.6216216216216216,3.72972972972973
10,4,23,0.6,3.0
10,7,9,0.49473684210526314,3.778947368421053
10,6,19,0.5116279069767442,4.558139534883721
10,4,5,0.5384615384615384,3.4615384615384617
10,8,15,0.46938775510204084,4.26530612244898
10,11,17,0.509090909090909,4.5636363636363635
9,9,11,0.575,3.55
9,3,13,0.5384615384615384,2.8846153846153846
9,14,11,0.3333333333333333,3.3333333333333335
9,7,5,0.5806451612903226,3.0
9,15,11,0.5,3.0
9,5,9,0.6153846153846154,3.2564102564102564
9,8,11,0.5,3.5
9,11,7,0.5434782608695652,3.847826086956522
9,7,9,0.42857142857142855,3.6785714285714284
9,4,7,1.0,2.0
9,7,9,0.5,2.5
9,11,15,0.3333333333333333,2.6666666666666665
9,8,13,0.5277777777777778,3.5
9,5,13,0.49074074074074076,5.074074074074074
9,4,9,0.6,3.25
9,5,7,0.5333333333333333,2.8666666666666667
9,9,13,0.5,2.5
9,4,13,0.5,2.5
9,9,9,0.375,4.625
9,10,11,0.5882352941176471,5.147058823529412
9,4,9,0.6,2.7333333333333334
9,5,19,0.5164835164835165,7.824175824175824
9,3,25,0.4117647058823529,3.1176470588235294
9,6,15,0.0,5.0
9,7,11,0.4,3.0
9,5,9,0.4,4.2
9,6,19,0.6666666666666666,4.444444444444445
9,5,11,0.2,10.8
9,7,9,0.6363636363636364,5.2727272727272725
9,4,25,0.7142857142857143,11.142857142857142
9,8,13,,
9,10,11,,
9,8,15,,
9,10,23,,
9,5,15,,
9,9,5,,
8,10,9,,
8,7,9,,
8,5,7,,
8,8,11,,
8,10,11,,
8,6,9,,
8,9,13,,
8,3,9,,
8,13,13,,
8,5,19,,
8,6,9,,
8,9,13,,
8,3,15,,
8,12,7,,
8,8,17,,
8,8,11,,
8,7,15,,
8,7,5,,
8,8,11,,
8,4,15,,
8,13,13,,
8,13,19,,
8,12,9,,
8,8,11,,
8,4,17,,
8,5,13,,
8,5,11,,
8,6,7,,
8,4,11,,
8,4,11,,
8,8,5,,
8,7,7,,
8,6,9,,
8,12,11,,
8,6,9,,
8,5,7,,
8,10,17,,
8,4,9,,
8,7,17,,
8,6,15,,
8,5,7,,
8,5,13,,
8,8,9,,
8,6,11,,
8,5,13,,
8,5,9,,
8,2,17,,
8,6,7,,
8,11,13,,
8,9,5,,
8,7,7,,
8,8,5,,
8,11,19,,
8,4,3,,
8,4,15,,
8,8,9,,
8,11,9,,
8,3,7,,
8,5,7,,
8,4,7,,
8,6,11,,
8,6,15,,
8,9,19,,
8,5,13,,
8,7,13,,
8,3,11,,
8,10,5,,
8,5,13,,
8,7,7,,
8,8,15,,
8,5,5,,
7,6,7,,
7,6,7,,
7,4,15,,
7,9,13,,
7,4,15,,
7,8,11,,
7,11,11,,
7,9,19,,
7,10,5,,
7,6,11,,
7,6,13,,
7,7,7,,
7,6,11,,
7,4,5,,
7,6,11,,
7,7,9,,
7,4,15,,
7,3,9,,
7,5,15,,
7,5,13,,
7,11,17,,
7,4,9,,
7,2,9,,
7,6,15,,
7,6,7,,
7,3,7,,
7,6,13,,
7,5,7,,
7,4,19,,
7,3,13,,
7,6,9,,
7,5,19,,
7,5,21,,
7,7,13,,
7,4,15,,
7,9,21,,
7,5,5,,
7,5,19,,
7,7,15,,
7,4,19,,
7,5,13,,
7,10,9,,
7,6,7,,
7,5,27,,
7,4,5,,
7,4,15,,
7,5,17,,
7,7,5,,
7,6,9,,
7,2,5,,
7,4,13,,
7,6,7,,
7,9,15,,
7,9,9,,
7,4,7,,
7,8,11,,
7,6,9,,
7,7,11,,
7,4,13,,
7,4,7,,
7,3,3,,
7,4,13,,
7,5,17,,
7,10,9,,
7,9,7,,
7,2,7,,
7,3,11,,
7,6,21,,
7,8,11,,
7,5,9,,
7,8,13,,
7,8,11,,
7,6,15,,
7,14,7,,
7,4,7,,
7,8,13,,
7,3,9,,
7,6,7,,
7,8,11,,
7,6,15,,
7,5,9,,
7,3,11,,
7,2,9,,
7,14,7,,
7,5,9,,
7,8,13,,
7,11,15,,
7,5,11,,
7,5,3,,
7,4,7,,
7,7,11,,
7,4,17,,
7,6,3,,
7,6,7,,
7,6,11,,
7,6,19,,
7,7,13,,
6,6,17,,
6,6,15,,
6,7,7,,
6,6,7,,
6,6,11,,
6,7,5,,
6,8,15,,
6,5,9,,
6,7,11,,
6,6,5,,
6,10,11,,
6,3,5,,
6,6,7,,
6,4,7,,
6,8,9,,
6,5,13,,
6,3,13,,
6,6,7,,
6,4,13,,
6,11,11,,
6,11,9,,
6,2,11,,
6,7,9,,
6,5,11,,
6,7,11,,
6,7,9,,
6,7,9,,
6,5,5,,
6,5,9,,
6,5,9,,
6,5,7,,
6,6,15,,
6,6,7,,
6,5,11,,
6,6,9,,
6,4,7,,
6,6,9,,
6,7,9,,
6,5,15,,
6,5,15,,
6,9,7,,
6,4,7,,
6,5,5,,
6,6,11,,
6,4,15,,
6,3,9,,
6,6,15,,
6,6,5,,
6,7,9,,
6,5,9,,
6,4,13,,
6,4,7,,
6,5,9,,
6,4,7,,
6,4,5,,
6,4,5,,
6,2,7,,
6,5,9,,
6,4,11,,
6,4,11,,
6,9,9,,
6,4,11,,
6,2,15,,
6,5,5,,
6,6,7,,
6,6,19,,
6,6,7,,
6,5,3,,
6,6,7,,
6,5,13,,
6,7,15,,
6,5,7,,
6,4,15,,
6,5,9,,
6,5,9,,
6,4,5,,
6,4,7,,
6,5,5,,
6,3,13,,
6,8,15,,
6,7,9,,
6,3,11,,
6,5,7,,
6,5,17,,
6,6,5,,
6,8,11,,
6,13,9,,
6,5,13,,
6,7,7,,
6,4,11,,
6,3,7,,
6,8,5,,
6,8,15,,
6,3,5,,
6,4,11,,
6,4,9,,
6,8,13,,
6,7,9,,
6,5,7,,
6,5,17,,
6,3,9,,
6,7,9,,
6,4,9,,
6,3,11,,
6,5,7,,
6,4,11,,
6,5,7,,
6,6,9,,
6,4,7,,
6,4,5,,
6,4,11,,
6,3,7,,
6,6,13,,
6,7,5,,
6,5,11,,
6,6,9,,
6,2,9,,
6,2,15,,
6,9,3,,
6,9,11,,
6,3,11,,
6,4,11,,
6,7,15,,
6,6,9,,
6,4,9,,
6,4,7,,
6,5,7,,
6,3,17,,
6,8,7,,
6,3,3,,
6,5,11,,
6,4,15,,
6,7,5,,
6,7,7,,
6,6,11,,
6,7,7,,
6,8,5,,
6,8,9,,
6,3,3,,
6,3,7,,
6,2,11,,
6,4,7,,
6,11,9,,
6,6,17,,
6,7,7,,
6,6,11,,
6,5,5,,
6,3,13,,
6,5,7,,
6,6,5,,
6,5,7,,
6,6,17,,
6,5,11,,
6,4,9,,
6,7,13,,
6,7,9,,
6,3,9,,
6,5,19,,
6,6,7,,
6,3,7,,
5,5,11,,
5,6,5,,
