Number of Authors:,73
Number of Papers:,100
Number of Topics:,20
author-id,author-degree,author-credit,author-type,,percent-marg-x,avg-credit-y
1,9,47.103519780029295,Marginalized,,0.45,21.731853447974704
2,9,52.22561638331107,Marginalized,,0.0,15.38275525300726
3,4,16.08433508110547,Marginalized,,0.0,16.640321040216584
4,8,43.43294000302146,Marginalized,,0.0,28.651955395750775
5,5,47.18224772848627,Marginalized,,0.4444444444444444,21.60961701197825
6,9,152.96903605595912,Dominant,,0.25,23.081568070240333
7,12,253.08129502631914,Dominant,,0.25,22.104936322396757
8,5,18.09089456190184,Marginalized,,0.5,15.173144749105196
9,3,29.945612534102526,Dominant,,0.6153846153846154,12.222198387794183
10,2,18.138747127624633,Marginalized,,0.3157894736842105,41.348940790334396
11,3,41.92115553849429,Dominant,,0.5384615384615384,18.90281124330653
12,2,15.38275525300726,Dominant,,0.6666666666666666,30.50730827499794
13,1,16.640321040216584,Dominant,,0.16666666666666666,25.188376829563577
14,5,18.21543608841668,Marginalized,,0.75,27.317342201499017
15,5,55.51668315278225,Dominant,,,
16,3,30.6278506748663,Dominant,,,
17,2,18.45556539370378,Dominant,,,
18,1,8.120002312995826,Marginalized,,,
19,3,20.462226533675505,Dominant,,,
20,4,35.40812783982675,Dominant,,,
21,4,23.239661753687013,Marginalized,,,
22,3,10.212911217814696,Marginalized,,,
23,5,30.420802923472106,Marginalized,,,
24,3,17.127928869493946,Dominant,,,
25,1,5.31088384210023,Marginalized,,,
26,3,13.898619540211023,Marginalized,,,
27,8,66.11570187905926,Marginalized,,,
28,4,14.226173897510543,Marginalized,,,
29,3,24.55419397413184,Dominant,,,
30,5,37.48890675047552,Dominant,,,
31,2,13.013342084749839,Dominant,,,
32,1,8.827267057467958,Dominant,,,
33,2,5.261774715654605,Marginalized,,,
34,6,49.14741173706811,Marginalized,,,
35,4,20.964102035220964,Dominant,,,
36,3,23.29243791863682,Dominant,,,
37,5,51.39615471725507,Dominant,,,
38,1,6.069150327849032,Marginalized,,,
39,2,40.90445492054912,Dominant,,,
40,5,59.83618877428689,Dominant,,,
41,1,4.5080226770338445,Marginalized,,,
42,1,9.621881457067916,Dominant,,,
43,1,6.037281100983864,Dominant,,,
44,1,7.693531286730241,Dominant,,,
45,2,5.324528972499853,Marginalized,,,
46,1,8.9534258730732,Dominant,,,
47,1,4.37354877296389,Marginalized,,,
48,3,11.226584505791068,Marginalized,,,
49,1,8.913112163402362,Marginalized,,,
50,1,14.167950837576216,Dominant,,,
51,1,39.65194444456293,Dominant,,,
52,2,5.543288646927573,Marginalized,,,
53,2,6.275482123099606,Marginalized,,,
54,2,43.99139379905817,Dominant,,,
55,3,10.861199363429725,Marginalized,,,
56,2,15.092560111545087,Dominant,,,
57,1,4.134314950695591,Marginalized,,,
58,1,10.010463002034445,Marginalized,,,
59,1,5.448703037532866,Marginalized,,,
60,2,12.302617439960944,Marginalized,,,
61,3,20.730868848214712,Dominant,,,
62,2,10.070147174286845,Marginalized,,,
63,1,5.475526659777472,Dominant,,,
64,1,8.535380191311663,Dominant,,,
65,1,3.2432612203542712,Marginalized,,,
66,5,14.31645507170154,Marginalized,,,
67,3,17.383717318931044,Dominant,,,
68,1,7.184529901423245,Marginalized,,,
69,1,14.19822689452005,Dominant,,,
70,2,13.704981155360393,Dominant,,,
71,2,6.919930041595881,Marginalized,,,
72,2,5.615851312946265,Marginalized,,,
73,1,14.72719794169157,Dominant,,,
