Number of Authors:,7993
Number of Papers:,10000
Number of Topics:,450
author-id,author-degree,author-credit,author-type,,percent-marg-x,avg-credit-y,num-authors
1,23,277.82298277258536,Marginalized,,0.4946236559139785,16.381548520191306,1116
2,28,847.9506991554497,Dominant,,0.48985507246376814,16.088336233713076,690
3,5,108.96110946094939,Dominant,,0.4646017699115044,18.256181446082195,226
4,19,349.9763642417167,Dominant,,0.3333333333333333,14.444072306155668,6
5,22,296.84221501106356,Marginalized,,0.45454545454545453,18.72352778308098,66
6,10,79.74624582148978,Marginalized,,0.49950641658440276,16.922639761101486,1013
7,1,5.401777040178551,Marginalized,,0.48776978417266187,17.040044589538688,695
8,32,1119.138260873932,Dominant,,0.36363636363636365,10.8483243754352,11
9,23,699.4887783372398,Dominant,,0.483271375464684,19.754640547933846,269
10,10,42.74349139539502,Marginalized,,0.4848901098901099,18.36133082906569,728
11,6,78.39857416009583,Marginalized,,0.5704225352112676,14.64455866717862,142
12,15,332.85659134230343,Dominant,,0.3333333333333333,15.244640216069058,3
13,14,329.8069495140101,Dominant,,0.3333333333333333,15.244640216069058,3
14,10,58.102593623584944,Marginalized,,0.5365853658536586,14.477100927508348,82
15,5,74.92194015502133,Marginalized,,0.42424242424242425,16.76888400109143,33
16,12,78.84070881145442,Marginalized,,0.4444444444444444,13.593093534416077,18
17,6,92.89796661741164,Dominant,,0.4411764705882353,13.500079889883306,102
18,6,53.665697012519004,Dominant,,0.40625,13.219484325492571,32
19,14,191.22211578090176,Dominant,,0.25,14.594743547061388,4
20,15,542.6789347727445,Dominant,,0.4444444444444444,13.593093534416077,18
21,7,127.16312189925237,Dominant,,0.25,14.594743547061388,4
22,10,151.7141962298537,Dominant,,0.5166051660516605,18.17390321627315,271
23,14,347.887912145986,Dominant,,0.36363636363636365,12.726918597533144,11
24,5,16.256616043101435,Marginalized,,0.36363636363636365,14.424180146782733,22
25,7,83.74362154019576,Dominant,,0.4883720930232558,15.689006224977454,172
26,8,53.633709264309275,Marginalized,,0.5454545454545454,15.087892853117292,55
27,5,55.900243860114536,Dominant,,0.41847826086956524,18.15148232007109,184
28,11,187.3663973026008,Dominant,,0.4421052631578947,17.358464964480138,190
29,10,72.89570576087375,Marginalized,,0.4583333333333333,18.92065315189831,72
30,10,123.64753795794087,Marginalized,,0.5035971223021583,13.50378596355561,278
31,8,29.50355575842862,Marginalized,,0.3333333333333333,19.405337000849265,12
32,10,115.97202420553981,Marginalized,,0.49133858267716535,16.406070241362304,635
33,7,142.6715319498867,Dominant,,0.4977168949771689,14.979584602409467,219
34,7,28.798554604323517,Marginalized,,0.3333333333333333,12.431023822360634,12
35,6,104.30324718897118,Dominant,,0.5,18.073610027197272,152
36,6,80.26486638018508,Dominant,,0.43414634146341463,19.11101232882616,205
37,10,231.17193998771472,Dominant,,0.47058823529411764,45.377492285539496,17
38,4,29.797242735966325,Marginalized,,0.42857142857142855,47.65361246440703,14
39,8,250.44812072786618,Dominant,,0.49034749034749037,18.285843754094827,259
40,9,217.16872353536053,Dominant,,0.2777777777777778,15.075527402154446,18
41,8,56.30315827148102,Marginalized,,0.5122950819672131,18.71402498522502,244
42,7,137.28120525885421,Dominant,,0.49840891010342087,16.44369756742224,2514
43,6,31.535362520977486,Marginalized,,0.47572815533980584,17.630801038580607,618
44,6,128.2986674640758,Dominant,,0.5,15.131919271528801,44
45,11,242.9429741581951,Dominant,,0.38461538461538464,20.68918704482838,13
46,8,109.40238665765911,Marginalized,,0.42016806722689076,18.64514550286761,119
47,11,68.28005715572844,Marginalized,,0.48787878787878786,16.342044125844787,330
48,5,21.91506800680476,Marginalized,,0.46875,18.132965613268254,224
49,7,36.9881928937284,Marginalized,,0.43915343915343913,19.292499988532562,189
50,8,99.01544483499005,Dominant,,0.4036697247706422,14.913025162342821,109
51,11,83.35620723026994,Marginalized,,0.4968553459119497,16.84964356665167,795
52,6,69.72444576047812,Dominant,,0.0,20.225590246108368,4
53,16,271.53159173158264,Dominant,,0.4724770642201835,17.361825025138526,218
54,10,78.88775491916411,Marginalized,,0.52,14.958101388767265,450
55,8,80.786739972037,Marginalized,,0.5,12.887635678493865,20
56,8,72.78556816213745,Dominant,,0.4609375,14.547377424038554,128
57,9,60.084568468706095,Marginalized,,0.4538152610441767,18.78296667912541,249
58,13,77.62461499151749,Marginalized,,0.48,18.183375014925772,75
59,6,114.15593938004406,Dominant,,0.474025974025974,15.368946245021005,308
60,6,97.4778347243446,Dominant,,0.4482758620689655,14.93358658187195,87
61,7,112.65437218529216,Dominant,,0.4,14.931478160154507,30
